property_id,address,city,state,zip,latitude,longitude,list_price,sqft,beds,baths,year_built,property_condition,days_on_market,estimated_monthly_rent
P0001,8599 Oak St,Phoenix,AZ,85011,33.454494,-112.0948,341590,2073,2,1.5,1942,poor,47,2931
P0002,772 Cedar St,Atlanta,GA,30324,33.750321,-84.365455,417006,1860,3,2.5,1984,excellent,56,2166
P0003,2026 Oak St,Cleveland,OH,44119,41.496209,-81.702967,202895,1889,3,2.5,1985,poor,31,1822
P0004,8990 Maple St,Tampa,FL,33612,27.973179,-82.459479,283343,1271,2,1.5,1991,fair,60,1864
P0005,2078 Maple St,Indianapolis,IN,46221,39.785829,-86.153628,166887,1680,3,2.5,1990,poor,17,1797
P0006,9828 Maple St,Phoenix,AZ,85003,33.431083,-112.054634,195784,892,1,1.0,1979,fair,2,1105
P0007,2415 Pine St,Atlanta,GA,30301,33.745174,-84.413514,181926,1236,2,1.5,1978,poor,59,1497
P0008,1745 Maple St,Cleveland,OH,44121,41.486061,-81.701661,187107,1478,2,1.5,1987,good,86,1655
P0009,3681 Maple St,Tampa,FL,33616,27.942134,-82.458794,136957,998,1,1.0,1950,distressed,50,1395
P0010,293 Elm St,Indianapolis,IN,46218,39.749728,-86.162209,176251,1222,2,1.5,1996,good,18,1149
P0011,6309 Elm St,Phoenix,AZ,85008,33.43781,-112.069346,514478,2370,4,3.5,1949,fair,43,3190
P0012,743 Oak St,Atlanta,GA,30303,33.725225,-84.400795,200279,1233,2,1.5,1940,fair,30,1589
P0013,9383 Oak St,Cleveland,OH,44112,41.539235,-81.636123,139353,1204,1,1.0,1981,good,1,1398
P0014,2440 Oak St,Tampa,FL,33623,27.947427,-82.477913,177806,896,1,1.0,1973,poor,60,1145
P0015,8314 Pine St,Indianapolis,IN,46208,39.753895,-86.115531,275158,2027,3,2.5,1998,good,60,2329
P0016,4160 Maple St,Phoenix,AZ,85002,33.423888,-112.099559,318407,1727,4,3.5,1978,poor,101,2152
P0017,2698 Maple St,Atlanta,GA,30310,33.757575,-84.357285,160498,1098,1,1.0,2016,poor,12,1220
P0018,9281 Elm St,Cleveland,OH,44108,41.512167,-81.702292,211474,1647,3,2.5,1983,good,4,1720
P0019,8060 Pine St,Tampa,FL,33622,27.926224,-82.474763,516406,2062,3,2.5,1975,good,29,3289
P0020,1742 Pine St,Indianapolis,IN,46217,39.795148,-86.16119,151057,1336,2,1.5,1981,fair,31,1839
P0021,4726 Cedar St,Phoenix,AZ,85011,33.431335,-112.079748,198092,1384,2,1.5,2005,poor,88,1608
P0022,9594 Oak St,Atlanta,GA,30322,33.793221,-84.398589,245299,1255,2,1.5,1931,fair,23,1856
P0023,1546 Pine St,Cleveland,OH,44109,41.475869,-81.701765,185799,2427,4,3.5,1968,distressed,9,2197
P0024,5410 Oak St,Tampa,FL,33601,27.945272,-82.452557,318952,1400,3,2.5,2000,fair,131,1883
P0025,5754 Cedar St,Indianapolis,IN,46217,39.766454,-86.116237,198986,1823,3,2.5,1947,poor,11,2191
P0026,7862 Maple St,Phoenix,AZ,85023,33.426191,-112.08343,389699,1768,3,2.5,1967,good,44,1708
P0027,1483 Maple St,Atlanta,GA,30302,33.75253,-84.38208,161234,859,2,1.5,2018,fair,25,960
P0028,817 Maple St,Cleveland,OH,44108,41.525301,-81.682747,245081,2429,5,4.0,1985,poor,53,2567
P0029,6977 Oak St,Tampa,FL,33615,27.970392,-82.480766,285538,1564,3,2.5,1993,poor,8,2002
P0030,4811 Pine St,Indianapolis,IN,46221,39.798625,-86.145349,158133,1335,2,1.5,1975,fair,13,1557
P0031,8011 Cedar St,Phoenix,AZ,85024,33.454487,-112.072559,497728,2377,3,2.5,1960,good,88,3351
P0032,5594 Pine St,Atlanta,GA,30320,33.765275,-84.366631,307034,1754,3,2.5,1981,fair,8,2411
P0033,5574 Maple St,Cleveland,OH,44105,41.4968,-81.664771,163053,1279,2,1.5,1996,fair,14,1417
P0034,219 Maple St,Tampa,FL,33622,27.946497,-82.49727,428236,2371,4,3.5,1977,fair,126,3164
P0035,1194 Cedar St,Indianapolis,IN,46214,39.778884,-86.152575,77717,700,1,1.0,1963,poor,1,787
P0036,9801 Cedar St,Phoenix,AZ,85001,33.434307,-112.077592,286124,1738,3,2.5,1965,poor,7,1809
P0037,666 Pine St,Atlanta,GA,30307,33.719356,-84.434672,331196,1987,3,2.5,1979,poor,19,2459
P0038,794 Elm St,Cleveland,OH,44119,41.501143,-81.711148,197278,1382,2,1.5,1952,good,21,1508
P0039,7124 Pine St,Tampa,FL,33612,27.960094,-82.459822,301707,2067,3,2.5,1961,distressed,152,3095
P0040,1380 Oak St,Indianapolis,IN,46204,39.794813,-86.164956,84819,985,2,1.5,1966,distressed,20,1294
