property_id,address,city,state,zip,latitude,longitude,list_price,sqft,beds,baths,year_built,property_condition,days_on_market,estimated_monthly_rent
K000000,9364 Oak St,Cleveland,OH,44131,41.3809,-81.6642,269219.0,2123.0,4,3.5,1985,fair,400,1885.0
K000001,5019 Elm St,Cleveland,OH,44104,41.4809,-81.6245,124237.0,1527.0,2,1.5,1985,poor,400,870.0
K000002,5240 Pine St,Cleveland,OH,44124,41.501,-81.4694,148032.0,1049.0,2,1.5,1985,good,30,1036.0
K000003,4762 Elm St,Houston,TX,77012,29.7149,-95.2819,136033.0,1153.0,1,1.0,1985,fair,30,952.0
K000004,7459 Elm St,Houston,TX,77012,29.7149,-95.2819,390287.0,2250.0,4,3.5,1985,good,30,2732.0
K000005,9752 Maple St,Indianapolis,IN,46209,39.7795,-86.1328,252824.0,2387.0,3,2.5,1985,poor,400,1770.0
K000006,7989 Elm St,Cleveland,OH,44110,41.5636,-81.5733,264228.0,2220.0,4,3.5,1985,fair,400,1850.0
K000007,2745 Oak St,Houston,TX,77009,29.7936,-95.3675,267042.0,2352.0,4,3.5,1985,fair,400,1869.0
K000008,8336 Pine St,Atlanta,GA,30331,33.7224,-84.5205,210988.0,2152.0,3,2.5,1985,distressed,400,1477.0
K000009,3272 Pine St,Houston,TX,77008,29.7991,-95.4118,155914.0,1032.0,1,1.0,1985,fair,400,1091.0
K000010,7955 Pine St,Tampa,FL,33626,28.0509,-82.6164,814979.0,3072.0,4,3.5,1985,good,30,5705.0
K000011,6676 Oak St,Charlotte,NC,28221,35.26,-80.8042,479952.0,2333.0,4,3.5,1985,fair,30,3360.0
K000012,8592 Elm St,Charlotte,NC,28230,35.26,-80.8042,308002.0,1890.0,3,2.5,1985,fair,400,2156.0
K000013,7117 Oak St,Indianapolis,IN,46218,39.8082,-86.1014,252916.0,1909.0,3,2.5,1985,fair,400,1770.0
K000014,2767 Maple St,Atlanta,GA,30322,33.7952,-84.3248,257941.0,1616.0,3,2.5,1985,fair,30,1806.0
K000015,4337 Elm St,Phoenix,AZ,85030,33.4484,-112.074,518230.0,2018.0,2,1.5,1985,good,30,3628.0
K000016,1191 Pine St,Atlanta,GA,30318,33.7865,-84.4454,458339.0,2268.0,3,2.5,1985,good,400,3208.0
K000017,3392 Maple St,Tampa,FL,33606,27.9475,-82.4584,339955.0,1998.0,4,3.5,1985,poor,400,2380.0
K000018,9874 Elm St,Indianapolis,IN,46225,39.7406,-86.1569,339733.0,2091.0,3,2.5,1985,good,30,2378.0
K000019,3462 Maple St,Tampa,FL,33609,27.9425,-82.5057,362815.0,2593.0,4,3.5,1985,distressed,30,2540.0
K000020,9402 Maple St,Houston,TX,77021,29.6954,-95.3562,305708.0,2276.0,4,3.5,1985,fair,400,2140.0
K000021,386 Pine St,Phoenix,AZ,85016,33.5021,-112.0305,298098.0,2067.0,4,3.5,1985,poor,400,2087.0
K000022,2272 Pine St,Tampa,FL,33603,27.9845,-82.463,523459.0,2258.0,2,1.5,1985,fair,30,3664.0
K000023,4010 Pine St,Indianapolis,IN,46225,39.7406,-86.1569,156096.0,2350.0,5,4.5,1985,distressed,30,1093.0
K000024,7854 Elm St,Tampa,FL,33609,27.9425,-82.5057,280251.0,1278.0,2,1.5,1985,fair,400,1962.0
K000025,7592 Oak St,Phoenix,AZ,85003,33.4511,-112.0774,134031.0,812.0,2,1.5,1985,fair,30,938.0
K000026,8692 Maple St,Indianapolis,IN,46225,39.7406,-86.1569,364585.0,2546.0,5,4.5,1985,fair,30,2552.0
K000027,5136 Oak St,Tampa,FL,33609,27.9425,-82.5057,368905.0,1811.0,4,3.5,1985,fair,400,2582.0
K000028,1024 Maple St,Atlanta,GA,30316,33.7217,-84.3339,419629.0,2124.0,3,2.5,1985,fair,30,2937.0
