brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
56642,for_sale,269219.0,4,3.5,0.083,9364 Oak St,Cleveland,OH,44131.0,2123.0,2018-02-18
90391,for_sale,150856.0,1,1.0,0.149,9628 Maple St,Atlanta,GA,30321.0,,2019-09-27
32994,for_sale,124237.0,2,1.5,0.095,5019 Elm St,Cleveland,OH,44104.0,1527.0,2017-12-25
74148,for_sale,148032.0,2,1.5,0.365,5240 Pine St,Cleveland,OH,44124.0,1049.0,
90291,for_sale,136033.0,1,1.0,0.502,4762 Elm St,Houston,TX,77012.0,1153.0,
66078,for_sale,390287.0,4,3.5,0.094,7459 Elm St,Houston,TX,77012.0,2250.0,
31583,for_sale,252824.0,3,2.5,0.057,9752 Maple St,Indianapolis,IN,46209.0,2387.0,2017-04-22
53294,for_sale,264228.0,4,3.5,0.267,7989 Elm St,Cleveland,OH,44110.0,2220.0,2023-07-13
10216,sold,518218.0,4,3.5,0.531,6264 Maple St,Phoenix,AZ,85007.0,2011.0,
63733,for_sale,267042.0,4,3.5,0.506,2745 Oak St,Houston,TX,77009.0,2352.0,2020-12-09
30201,for_sale,210988.0,3,2.5,0.343,8336 Pine St,Atlanta,GA,30331.0,2152.0,2017-06-25
37623,for_sale,155914.0,1,1.0,0.31,3272 Pine St,Houston,TX,77008.0,1032.0,2015-01-26
80988,for_sale,814979.0,4,3.5,0.512,7955 Pine St,Tampa,FL,33626.0,3072.0,
95611,for_sale,479952.0,4,3.5,0.268,6676 Oak St,Charlotte,NC,28221.0,2333.0,
2866,sold,356274.0,3,2.5,0.49,1783 Maple St,Houston,TX,77006.0,1825.0,2023-03-01
77460,for_sale,331781.0,5,4.5,0.498,8566 Elm St,Tampa,FL,33628.0,2045.0,2020-08-22
73938,for_sale,308002.0,3,2.5,0.084,8592 Elm St,Charlotte,NC,28230.0,1890.0,2024-12-04
68130,sold,462239.0,4,3.5,0.16,4641 Elm St,Charlotte,NC,28225.0,2203.0,2024-09-20
10508,for_sale,252916.0,3,2.5,0.419,7117 Oak St,Indianapolis,IN,46218.0,1909.0,2021-08-11
53200,for_sale,257941.0,3,2.5,0.537,2767 Maple St,Atlanta,GA,30322.0,1616.0,
51376,for_sale,205081.0,2,1.5,0.232,4940 Oak St,Atlanta,GA,30323.0,1152.0,
89601,for_sale,518230.0,2,1.5,0.5,4337 Elm St,Phoenix,AZ,85030.0,2018.0,
80715,for_sale,458339.0,3,2.5,0.521,1191 Pine St,Atlanta,GA,30318.0,2268.0,2016-05-03
35327,sold,160775.0,2,1.5,0.078,3405 Pine St,Charlotte,NC,28204.0,1263.0,
73227,for_sale,,2,1.5,0.588,8525 Elm St,Houston,TX,77010.0,1366.0,
45918,for_sale,104162.0,2,1.5,0.159,2389 Elm St,Atlanta,GA,30330.0,1007.0,
37953,sold,127320.0,3,2.5,0.379,4901 Oak St,Cleveland,OH,44102.0,1744.0,
63212,for_sale,339955.0,4,3.5,0.203,3392 Maple St,Tampa,FL,33606.0,1998.0,2020-07-03
99374,for_sale,339733.0,3,2.5,0.135,9874 Elm St,Indianapolis,IN,46225.0,2091.0,
67262,for_sale,317623.0,2,1.5,0.127,8681 Oak St,Charlotte,NC,28211.0,,
83282,sold,128326.0,1,1.0,0.06,8807 Maple St,Charlotte,NC,28222.0,787.0,2022-09-02
35807,for_sale,362815.0,4,3.5,0.179,3462 Maple St,Tampa,FL,33609.0,2593.0,
91818,for_sale,305708.0,4,3.5,0.217,9402 Maple St,Houston,TX,77021.0,2276.0,2019-11-24
12253,for_sale,298098.0,4,3.5,0.565,386 Pine St,Phoenix,AZ,85016.0,2067.0,2023-04-10
35315,for_sale,523459.0,2,1.5,0.574,2272 Pine St,Tampa,FL,33603.0,2258.0,
16847,for_sale,300325.0,3,2.5,0.512,128 Pine St,Phoenix,AZ,85023.0,,2020-07-11
7326,sold,340817.0,3,2.5,0.204,945 Pine St,Charlotte,NC,28211.0,1834.0,2021-05-28
95315,for_sale,327631.0,5,4.5,0.094,6831 Elm St,Houston,TX,,2489.0,2023-09-07
86566,for_sale,156096.0,5,4.5,0.193,4010 Pine St,Indianapolis,IN,46225.0,2350.0,
59977,sold,227512.0,2,1.5,0.285,9074 Maple St,Tampa,FL,33618.0,1576.0,
28525,for_sale,,4,3.5,0.257,5641 Oak St,Atlanta,GA,30303.0,1990.0,
5226,for_sale,280251.0,2,1.5,0.284,7854 Elm St,Tampa,FL,33609.0,1278.0,2019-01-05
95599,for_sale,134031.0,2,1.5,0.436,7592 Oak St,Phoenix,AZ,85003.0,812.0,
14034,for_sale,364585.0,5,4.5,0.089,8692 Maple St,Indianapolis,IN,46225.0,2546.0,
54976,for_sale,368905.0,4,3.5,0.438,5136 Oak St,Tampa,FL,33609.0,1811.0,2023-04-01
39287,for_sale,153216.0,2,1.5,0.457,8371 Oak St,Phoenix,AZ,,950.0,2021-04-01
30271,for_sale,419629.0,3,2.5,0.317,1024 Maple St,Atlanta,GA,30316.0,2124.0,
25993,for_sale,541704.0,5,4.5,0.152,8698 Elm St,Tampa,FL,33602.0,2011.0,2016-03-11
74548,for_sale,314940.0,2,1.5,0.58,3498 Elm St,Phoenix,AZ,85010.0,1450.0,
63198,for_sale,192640.0,3,2.5,0.067,6830 Maple St,Cleveland,OH,44125.0,2103.0,
98837,for_sale,356700.0,3,2.5,0.444,5285 Pine St,Charlotte,NC,28221.0,1715.0,2024-01-09
51661,sold,192089.0,2,1.5,0.484,7144 Elm St,Cleveland,OH,44101.0,,
11356,for_sale,343408.0,3,2.5,0.332,6517 Maple St,Atlanta,GA,30330.0,1633.0,
23700,for_sale,247715.0,3,2.5,0.179,6929 Elm St,Atlanta,GA,30314.0,1820.0,2022-12-15
33431,for_sale,192204.0,1,1.0,0.152,3958 Maple St,Indianapolis,IN,46229.0,1318.0,2019-04-15
14412,for_sale,264880.0,3,2.5,0.052,3886 Elm St,Cleveland,OH,44129.0,1969.0,
88130,for_sale,171029.0,3,2.5,0.57,1833 Pine St,Cleveland,OH,44102.0,1960.0,
41920,for_sale,196492.0,3,2.5,0.093,615 Elm St,Atlanta,GA,30302.0,1512.0,2020-03-20
41941,for_sale,151506.0,3,2.5,0.46,5952 Elm St,Indianapolis,IN,46216.0,1913.0,2019-07-02
54243,for_sale,,3,2.5,0.368,6075 Elm St,Tampa,FL,33601.0,2809.0,
23516,for_sale,314974.0,3,2.5,0.559,1882 Elm St,Charlotte,NC,28206.0,1811.0,2019-03-17
22007,sold,582515.0,2,1.5,0.402,3738 Elm St,Tampa,FL,33625.0,2140.0,2024-12-27
26243,sold,153369.0,4,3.5,0.073,9313 Oak St,Indianapolis,IN,46228.0,1887.0,
4063,for_sale,173694.0,3,2.5,0.052,8119 Elm St,Houston,TX,77027.0,1476.0,2023-08-06
67105,for_sale,254392.0,2,1.5,0.331,767 Oak St,Atlanta,GA,30315.0,1774.0,
91773,for_sale,376536.0,4,3.5,0.498,3273 Maple St,Houston,TX,77005.0,2406.0,2016-10-24
37043,for_sale,813671.0,4,3.5,0.548,7577 Maple St,Tampa,FL,33610.0,2771.0,
90087,for_sale,235267.0,4,3.5,0.23,6274 Maple St,Cleveland,OH,44117.0,2257.0,
83546,for_sale,287678.0,4,3.5,0.521,6186 Pine St,Charlotte,NC,28226.0,1623.0,
97080,for_sale,299149.0,2,1.5,0.051,653 Maple St,Tampa,FL,33612.0,1282.0,2024-11-11
47812,for_sale,202791.0,2,1.5,0.344,6870 Pine St,Atlanta,GA,30310.0,1303.0,2019-02-17
36358,for_sale,248812.0,4,3.5,0.271,4429 Oak St,Indianapolis,IN,46205.0,1898.0,
25334,sold,250182.0,2,1.5,0.181,1056 Oak St,Phoenix,AZ,85021.0,2155.0,2023-01-13
7355,for_sale,83609.0,1,1.0,0.597,7930 Oak St,Phoenix,AZ,85020.0,571.0,2016-05-21
35863,for_sale,198320.0,2,1.5,0.4,7244 Pine St,Tampa,FL,33628.0,683.0,2019-12-02
43843,sold,374481.0,4,3.5,0.156,6468 Pine St,Cleveland,OH,44121.0,2654.0,
28782,sold,95575.0,2,1.5,0.265,9690 Oak St,Indianapolis,IN,46208.0,989.0,2018-10-10
84083,for_sale,282912.0,3,2.5,0.073,1211 Oak St,Indianapolis,IN,,1761.0,
5512,for_sale,295291.0,2,1.5,0.572,1533 Pine St,Phoenix,AZ,85028.0,1299.0,2018-02-02
49237,for_sale,,5,4.5,0.551,9963 Elm St,Tampa,FL,33604.0,2295.0,
12913,for_sale,301765.0,3,2.5,0.366,4804 Maple St,Charlotte,NC,28210.0,1607.0,
76760,for_sale,279855.0,2,1.5,0.569,4748 Maple St,Tampa,FL,33601.0,1292.0,2020-09-09
4299,for_sale,133251.0,2,1.5,0.255,5066 Pine St,Houston,TX,77008.0,1458.0,2016-07-21
21358,for_sale,297114.0,2,1.5,0.527,7477 Pine St,Tampa,FL,33629.0,1405.0,2024-06-17
81914,for_sale,128083.0,2,1.5,0.135,2655 Maple St,Atlanta,GA,30315.0,901.0,
40597,sold,219012.0,2,1.5,0.453,7225 Pine St,Houston,TX,77011.0,1330.0,2021-03-05
39825,for_sale,352454.0,2,1.5,0.305,2423 Pine St,Atlanta,GA,30304.0,,
85107,for_sale,90241.0,2,1.5,0.435,3845 Maple St,Indianapolis,IN,46224.0,1021.0,
64274,for_sale,144842.0,2,1.5,0.3,6806 Maple St,Houston,TX,77004.0,1284.0,
76308,sold,217324.0,2,1.5,0.301,3458 Elm St,Houston,TX,77011.0,1787.0,2020-02-28
8421,for_sale,102002.0,1,1.0,0.189,6356 Elm St,Indianapolis,IN,46201.0,1097.0,2024-06-21
28788,sold,307183.0,5,4.5,0.14,1228 Maple St,Phoenix,AZ,85001.0,2689.0,2018-07-15
47497,for_sale,275857.0,2,1.5,0.481,3875 Pine St,Tampa,FL,33621.0,1368.0,
12196,for_sale,144161.0,1,1.0,0.413,6038 Maple St,Houston,TX,77013.0,1153.0,
33771,for_sale,171149.0,3,2.5,0.385,9577 Maple St,Cleveland,OH,44128.0,1541.0,2016-11-10
88616,for_sale,268651.0,4,3.5,0.546,9086 Pine St,Charlotte,NC,28208.0,1915.0,
19929,for_sale,289787.0,2,1.5,0.435,4139 Elm St,Atlanta,GA,30316.0,1483.0,2015-08-15
89597,for_sale,138403.0,1,1.0,0.091,6004 Oak St,Atlanta,GA,30318.0,1039.0,
82956,for_sale,688853.0,4,3.5,0.12,1647 Pine St,Phoenix,AZ,85020.0,2482.0,
53917,for_sale,208791.0,2,1.5,0.234,4551 Pine St,Cleveland,OH,44116.0,1813.0,
54219,for_sale,332343.0,2,1.5,0.35,914 Elm St,Atlanta,GA,30321.0,1449.0,
92279,for_sale,283376.0,3,2.5,0.429,1459 Maple St,Cleveland,OH,44104.0,2024.0,
19179,for_sale,333497.0,1,1.0,0.483,9309 Pine St,Phoenix,AZ,85022.0,1232.0,
54038,for_sale,231559.0,3,2.5,0.296,331 Elm St,Charlotte,NC,28210.0,1752.0,2021-10-23
88735,for_sale,243378.0,4,3.5,0.117,1544 Maple St,Indianapolis,IN,46219.0,2433.0,2015-01-22
74071,for_sale,316068.0,3,2.5,0.44,7646 Pine St,Charlotte,NC,28204.0,1765.0,2016-05-21
64744,for_sale,266809.0,3,2.5,0.385,5281 Pine St,Phoenix,AZ,85023.0,1873.0,
60343,for_sale,148782.0,2,1.5,0.57,9386 Pine St,Indianapolis,IN,46224.0,1003.0,
