rank,property_id,address,city,state,zip,list_price,sqft,beds,baths,property_condition,days_on_market,n_comps,comp_psf,arv,rehab_cost,total_costs,max_bid,offer_price,expected_profit,expected_roi,capital_required,list_to_arv_discount,binding_constraint,feasible,deal_score
1,P0061,5664 Oak St,Phoenix,AZ,85005,476755,2324,4,3.5,fair,332,7,214.00493612307824,497347.0,69720.0,121120.0,180280.0,180280.0,195947.0,0.7838,250000.0,0.0414,budget,True,0.8198
2,P0047,3986 Elm St,Atlanta,GA,30322,380568,2304,4,3.5,fair,61,6,204.66564885496183,471550.0,69120.0,118769.0,180880.0,180880.0,171901.0,0.6876,250000.0,0.1929,budget,True,0.7106
3,P0011,6309 Elm St,Phoenix,AZ,85008,514478,2370,4,3.5,fair,43,6,208.140243902439,493292.0,71100.0,122089.0,178900.0,178900.0,192303.0,0.7692,250000.0,-0.0429,budget,True,0.6976
4,P0034,219 Maple St,Tampa,FL,33622,428236,2371,4,3.5,fair,126,5,198.8746974882575,471532.0,71130.0,120593.0,178870.0,178870.0,172069.0,0.6883,250000.0,0.0918,budget,True,0.6827
5,P0031,8011 Cedar St,Phoenix,AZ,85024,497728,2377,3,2.5,good,88,7,202.4961247866965,481333.0,35655.0,89068.0,214345.0,214345.0,177920.0,0.7117,250000.0,-0.0341,budget,True,0.6516
6,P0096,1860 Pine St,Phoenix,AZ,85011,293569,2007,3,2.5,distressed,17,9,209.14273115322655,419749.0,170595.0,207283.0,79405.0,79405.0,133061.0,0.5322,250000.0,0.3006,budget,True,0.5877
7,P0001,8599 Oak St,Phoenix,AZ,85011,341590,2073,2,1.5,poor,47,5,206.8438299987618,428787.0,114015.0,156541.0,135985.0,135985.0,136261.0,0.545,250000.0,0.2034,budget,True,0.5636
8,P0039,7124 Pine St,Tampa,FL,33612,301707,2067,3,2.5,distressed,152,5,196.2330133338935,405614.0,175695.0,210924.0,74305.0,74305.0,120385.0,0.4815,250000.0,0.2562,budget,True,0.5547
9,P0042,3492 Pine St,Atlanta,GA,30301,320181,2147,3,2.5,poor,3,5,194.7074439989701,418037.0,118085.0,159484.0,131915.0,131915.0,126638.0,0.5066,250000.0,0.2341,budget,True,0.5251
10,P0057,7203 Pine St,Atlanta,GA,30312,357253,1964,4,3.5,fair,151,5,212.47809899039646,417307.0,58920.0,105711.0,191080.0,191080.0,120516.0,0.4821,250000.0,0.1439,budget,True,0.5014
11,P0054,180 Cedar St,Tampa,FL,33614,480894,1993,4,3.5,excellent,27,5,217.5373012254692,433552.0,9965.0,62397.0,240035.0,240035.0,131120.0,0.5245,250000.0,-0.1092,budget,True,0.4392
12,P0091,6885 Cedar St,Phoenix,AZ,85012,370843,1868,3,2.5,fair,37,5,219.58922514716332,410193.0,56040.0,102598.0,193960.0,193960.0,113635.0,0.4545,250000.0,0.0959,budget,True,0.4155
13,P0086,997 Elm St,Phoenix,AZ,85004,345852,1927,3,2.5,fair,38,7,208.89210934052966,402535.0,57810.0,103669.0,192190.0,192190.0,106676.0,0.4267,250000.0,0.1408,budget,True,0.4084
14,P0066,9684 Elm St,Phoenix,AZ,85015,325090,2068,4,3.5,poor,89,5,186.57250073534343,385832.0,113740.0,153284.0,136260.0,136260.0,96288.0,0.3852,250000.0,0.1574,budget,True,0.3887
15,P0046,8035 Cedar St,Phoenix,AZ,85010,518841,2005,4,3.5,good,63,6,205.14414802065406,411314.0,30075.0,79100.0,219925.0,219925.0,112289.0,0.4492,250000.0,-0.2614,budget,True,0.372
16,P0081,8527 Maple St,Phoenix,AZ,85004,477890,2296,4,3.5,good,114,4,176.50718736768937,405261.0,34440.0,82640.0,215560.0,215560.0,107061.0,0.4282,250000.0,-0.1792,budget,True,0.3657
17,P0032,5594 Pine St,Atlanta,GA,30320,307034,1754,3,2.5,fair,8,5,220.11705776001523,386085.0,52620.0,97805.0,197380.0,197380.0,90900.0,0.3636,250000.0,0.2048,budget,True,0.3645
18,P0059,2916 Oak St,Tampa,FL,33625,203180,1613,2,1.5,distressed,27,6,216.7289527720739,349584.0,137105.0,171962.0,112895.0,112895.0,64727.0,0.2589,250000.0,0.4188,budget,True,0.364
19,P0019,8060 Pine St,Tampa,FL,33622,516406,2062,3,2.5,good,29,5,198.8746974882575,410080.0,30930.0,79790.0,219070.0,219070.0,111220.0,0.4449,250000.0,-0.2593,budget,True,0.3573
20,P0094,4070 Elm St,Tampa,FL,33605,312496,1854,4,3.5,poor,19,4,205.05802189945643,380178.0,101970.0,142201.0,148030.0,148030.0,89947.0,0.3598,250000.0,0.178,budget,True,0.3511
21,P0079,1736 Oak St,Tampa,FL,33614,351204,1667,3,2.5,fair,39,5,233.21032241416387,388762.0,50010.0,95622.0,199990.0,199990.0,93150.0,0.3726,250000.0,0.0966,budget,True,0.3315
22,P0044,7090 Cedar St,Tampa,FL,33621,437492,1814,3,2.5,good,1,5,223.56388747783583,405545.0,27210.0,76095.0,222790.0,222790.0,106660.0,0.4266,250000.0,-0.0788,budget,True,0.3299
23,P0097,3597 Maple St,Atlanta,GA,30320,402168,1965,3,2.5,fair,133,5,198.81913737599368,390680.0,58950.0,103874.0,191050.0,191050.0,95756.0,0.383,250000.0,-0.0294,budget,True,0.3246
24,P0035,1194 Cedar St,Indianapolis,IN,46214,77717,700,1,1.0,poor,1,5,104.41354225352113,73089.0,38500.0,43993.0,4096.0,4096.0,25000.0,0.5869,42596.0,-0.0633,profit,True,0.2973
25,P0092,2408 Elm St,Atlanta,GA,30314,150123,1306,2,1.5,distressed,76,5,194.48604999600104,253999.0,111010.0,136401.0,82726.0,82726.0,34872.0,0.18,193736.0,0.409,roi,True,0.2758
26,P0067,8149 Elm St,Atlanta,GA,30319,442186,2034,4,3.5,good,9,5,191.00668724055907,388508.0,30510.0,77899.0,219490.0,219490.0,91119.0,0.3645,250000.0,-0.1382,budget,True,0.2679
27,P0073,4750 Pine St,Cleveland,OH,44109,85285,812,1,1.0,fair,65,5,130.85237150329192,106252.0,24360.0,35964.0,45288.0,45288.0,25000.0,0.3589,69648.0,0.1973,profit,True,0.2676
28,P0099,1763 Pine St,Tampa,FL,33609,343888,1540,2,1.5,fair,69,5,241.2217900468619,371482.0,46200.0,90953.0,203800.0,203800.0,76729.0,0.3069,250000.0,0.0743,budget,True,0.2619
29,P0043,3670 Pine St,Cleveland,OH,44114,130231,1750,4,3.5,distressed,186,3,110.49948103044107,193374.0,148750.0,162598.0,3391.0,3391.0,27385.0,0.18,152141.0,0.3265,roi,True,0.2574
30,P0021,4726 Cedar St,Phoenix,AZ,85011,198092,1384,2,1.5,poor,88,5,209.91821877019834,290527.0,76120.0,109502.0,141799.0,141799.0,39225.0,0.18,217919.0,0.3182,roi,True,0.2431
31,P0009,3681 Maple St,Tampa,FL,33616,136957,998,1,1.0,distressed,50,5,217.5373012254692,217102.0,84830.0,107390.0,80036.0,80036.0,29676.0,0.18,164866.0,0.3692,roi,True,0.2404
32,P0023,1546 Pine St,Cleveland,OH,44109,185799,2427,4,3.5,distressed,9,5,113.59028021863757,275684.0,206295.0,226530.0,10187.0,10187.0,38967.0,0.18,216482.0,0.326,roi,True,0.2226
33,P0051,172 Pine St,Phoenix,AZ,85015,283221,1767,2,1.5,distressed,31,5,193.49480206540449,341905.0,150195.0,183310.0,99805.0,99805.0,58790.0,0.2352,250000.0,0.1716,budget,True,0.2226
34,P0077,2668 Maple St,Atlanta,GA,30312,205454,1775,2,1.5,poor,41,5,164.85988153541115,292626.0,97625.0,129460.0,123384.0,123384.0,39782.0,0.18,221009.0,0.2979,roi,True,0.2202
35,P0082,3788 Pine St,Atlanta,GA,30313,401526,1836,3,2.5,good,88,5,199.14068185274172,365622.0,27540.0,73600.0,222460.0,222460.0,69562.0,0.2782,250000.0,-0.0982,budget,True,0.2024
36,P0049,5440 Oak St,Tampa,FL,33619,422188,1948,3,2.5,poor,162,6,180.61408688317167,351836.0,107140.0,144912.0,142860.0,142860.0,64064.0,0.2563,250000.0,-0.2,budget,True,0.202
37,P0089,295 Elm St,Tampa,FL,33608,178093,1094,3,2.5,poor,2,5,233.21032241416387,255132.0,60170.0,90055.0,130717.0,130717.0,34360.0,0.18,190887.0,0.302,roi,True,0.2015
38,P0069,9917 Oak St,Tampa,FL,33604,364149,1626,3,2.5,fair,69,6,222.9291896144768,362483.0,48780.0,92666.0,201220.0,201220.0,68597.0,0.2744,250000.0,-0.0046,budget,True,0.1927
39,P0063,116 Pine St,Cleveland,OH,44104,180688,1965,3,2.5,fair,36,7,125.23247758696637,246082.0,58950.0,87697.0,125232.0,125232.0,33153.0,0.18,184182.0,0.2657,roi,True,0.1925
40,P0041,3116 Cedar St,Phoenix,AZ,85003,217779,1269,2,1.5,fair,43,5,224.20080830431812,284511.0,38070.0,73874.0,172699.0,172699.0,37938.0,0.18,210769.0,0.2345,roi,True,0.1875
41,P0060,5930 Elm St,Indianapolis,IN,46208,193732,1807,4,3.5,poor,59,5,138.85965295172133,250919.0,99385.0,125345.0,91258.0,91258.0,34316.0,0.18,190643.0,0.2279,roi,True,0.1833
42,P0028,817 Maple St,Cleveland,OH,44108,245081,2429,5,4.0,poor,53,5,125.27327174950125,304289.0,133595.0,163961.0,98543.0,98543.0,41785.0,0.18,232138.0,0.1946,roi,True,0.1777
43,P0071,4021 Oak St,Phoenix,AZ,85014,272868,1820,4,3.5,poor,74,4,180.4216663124024,328367.0,100100.0,136630.0,147220.0,147220.0,44518.0,0.18,247320.0,0.169,roi,True,0.1763
44,P0017,2698 Maple St,Atlanta,GA,30310,160498,1098,1,1.0,poor,12,5,194.7074439989701,213789.0,60390.0,84582.0,100286.0,100286.0,28922.0,0.18,160676.0,0.2493,roi,True,0.1705
45,P0075,6125 Elm St,Indianapolis,IN,46209,171739,2033,3,2.5,distressed,7,4,109.48958450704225,222592.0,172805.0,188611.0,2438.0,2438.0,31544.0,0.18,175243.0,0.2285,roi,True,0.1633
46,P0095,789 Oak St,Indianapolis,IN,46216,148503,1581,3,2.5,poor,96,6,112.02760563380282,177116.0,86955.0,103798.0,48318.0,48318.0,25000.0,0.1848,135273.0,0.1615,profit,True,0.1506
47,P0053,505 Maple St,Cleveland,OH,44108,141891,1459,2,1.5,fair,28,5,119.05926140555232,173707.0,43770.0,63746.0,84961.0,84961.0,25000.0,0.1942,128731.0,0.1832,profit,True,0.1462
48,P0070,8405 Maple St,Indianapolis,IN,46216,117963,1087,2,1.5,poor,3,5,119.96035502171112,130397.0,59785.0,71987.0,33410.0,33410.0,25000.0,0.2683,93195.0,0.0954,profit,True,0.1433
49,P0025,5754 Cedar St,Indianapolis,IN,46217,198986,1823,3,2.5,poor,11,3,132.0018394016543,240639.0,100265.0,124739.0,82926.0,82926.0,32974.0,0.18,183191.0,0.1731,roi,True,0.1404
50,P0056,8675 Oak St,Phoenix,AZ,85023,130010,700,2,1.5,good,28,5,202.87179514782548,142010.0,10500.0,28577.0,88433.0,88433.0,25000.0,0.2527,98933.0,0.0845,profit,True,0.1359
51,P0003,2026 Oak St,Cleveland,OH,44119,202895,1889,3,2.5,poor,31,9,125.91360009253596,237851.0,103895.0,127676.0,77520.0,77520.0,32655.0,0.18,181415.0,0.147,roi,True,0.1334
52,P0048,7964 Elm St,Cleveland,OH,44106,252913,2166,2,1.5,good,63,5,130.9213752276867,283576.0,32490.0,68642.0,177191.0,177191.0,37743.0,0.18,209681.0,0.1081,roi,True,0.1329
53,P0090,734 Maple St,Indianapolis,IN,46204,161830,1792,3,2.5,poor,11,4,109.48958450704225,196205.0,98560.0,117080.0,52020.0,52020.0,27104.0,0.18,150580.0,0.1752,roi,True,0.1318
54,P0029,6977 Oak St,Tampa,FL,33615,285538,1564,3,2.5,poor,8,4,207.09362607957928,323894.0,86020.0,123138.0,157011.0,157011.0,43746.0,0.18,243031.0,0.1184,roi,True,0.131
